Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB,
MW5905,MW5905-3,59053,Kathrein,742266,320,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1311,> 26 & > 28,
MW0611,MW0611-1,6111,Kathrein,739854,20,1710-1990MHz,Dual Polarization,2,48,20W,-110,65,7,>30db,
MW0611,MW0611-2,6112,Kathrein,739854,110,1710-1990MHz,Dual Polarization,2,48,20W,-110,65,7,>30db,
MW0611,MW0611-3,6113,Kathrein,739854,230,1710-1990MHz,Dual Polarization,2,48,20W,-110,65,7,>30db,
MW0610,MW0610-1,6101,Kathrein,742266,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1315,> 26 & > 28,
MW0610,MW0610-2,6102,Kathrein,742266,130,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1316,> 26 & > 28,
MW0610,MW0610-3,6103,Kathrein,742266,250,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1317,> 26 & > 28,
MW0635,MW0635-1,6351,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,48,20W,-110,,,,
MW0635,MW0635-2,6352,Rosenberger,BA-G6W9W9X65V-00M,110,,,2,48,20W,-110,,,,
MW0635,MW0635-3,6353,Rosenberger,BA-G6W9W9X65V-00M,240,,,2,48,20W,-110,,,,
MW0624,MW0624-1,6241,Rosenberger,BA-G6W9W9X65V-00M,30,,,4,76,20W,-110,,,,
MW0624,MW0624-2,6242,Rosenberger,BA-G6W9W9X65V-00M,150,,,4,76,20W,-110,,,,
MW0624,MW0624-3,6243,Rosenberger,BA-G6W9W9X65V-00M,270,,,4,76,20W,-110,,,,
MW0619,MW0619-1,6191,Andrew,DBXLH-6565C-VTM,0,824Ð960MHz&1710Ð2180,Dual Polarization,2,38,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0619,MW0619-2,6192,Andrew,DBXLH-6565C-VTM,120,824Ð960MHz&1710Ð2180,Dual Polarization,2,38,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0619,MW0619-3,6193,Andrew,DBXLH-6565C-VTM,240,824Ð960MHz&1710Ð2180,Dual Polarization,2,38,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW5808,MW5808-1,58081,Rosenberger,BA-G6W9W9X65V-00M,70,,,4,48,20W,-110,,,,
MW5808,MW5808-2,58082,Rosenberger,BA-G6W9W9X65V-00M,190,,,4,48,20W,-110,,,,
MW5808,MW5808-3,58083,Rosenberger,BA-G6W9W9X65V-00M,310,,,4,48,20W,-110,,,,
MW5807,MW5807-1,58071,Rosenberger,BA-G6W9W9X65V-00M,110,,,4,48,20W,-110,,,,
MW5807,MW5807-2,58072,Rosenberger,BA-G6W9W9X65V-00M,180,,,4,48,20W,-110,,,,
MW5807,MW5807-3,58073,Rosenberger,BA-G6W9W9X65V-00M,320,,,0,48,20W,-110,,,,
MW5804,MW5804-1,58041,Rosenberger,BA-G6W9W9X65V-00M,0,,,0,48,20W,-110,,,,
MW5804,MW5804-2,58042,Rosenberger,BA-G6W9W9X65V-00M,120,,,0,48,20W,-110,,,,
MW5804,MW5804-3,58043,Rosenberger,BA-G6W9W9X65V-00M,270,,,0,48,20W,-110,,,,
MW5806,MW5806-1,58061,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,49,20W,-110,,,,
MW5806,MW5806-2,58062,Rosenberger,BA-G6W9W9X65V-00M,140,,,0,49,20W,-110,,,,
MW5806,MW5806-3,58063,Rosenberger,BA-G6W9W9X65V-00M,260,,,2,49,20W,-110,,,,
MW5802,MW5802-1,58021,Rosenberger,BA-G6W9W9X65V-00M,0,,,4,48,20W,-110,,,,
MW5802,MW5802-2,58022,Rosenberger,BA-G6W9W9X65V-00M,90,,,4,48,20W,-110,,,,
MW5802,MW5802-3,58023,Rosenberger,BA-G6W9W9X65V-00M,180,,,4,48,20W,-110,,,,
MW0680,MW0680-1,6801,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,55,20W,-110,66.8&61.9,9.2&9.1,>25,
MW0680,MW0680-2,6802,Kathrein,742266,140,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,55,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1343,> 26 & > 28,
MW0680,MW0680-3,6803,Kathrein,739630,280,870ÊÐÊ960ÊMHz,Dual Polarization,2,55,20W,-110,65,7,>Ê30ÊdB,
MW0728,MW0728-1,7281,Kathrein,742266,60,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1345,> 26 & > 28,
MW0728,MW0728-2,7282,Kathrein,742266,210,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1346,> 26 & > 28,
MW0728,MW0728-3,7283,Kathrein,742266,300,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1347,> 26 & > 28,
MW0631,MW0631-1,6311,Kathrein,80010213,10,806Ð960MHz,Dual Polarization,1,49,20W,-110,88,8,>27db,
MW0631,MW0631-2,6312,Kathrein,80010213,120,806Ð960MHz,Dual Polarization,1,49,20W,-110,88,8,>27db,
MW0631,MW0631-3,6313,Kathrein,80010213,220,806Ð960MHz,Dual Polarization,1,49,20W,-110,88,8,>27db,
MW5931,MW5931-1,59311,Rosenberger,BA-G6W9W9X65V-00M,90,,,0,42,20W,-110,,,,
MW5931,MW5931-2,59312,Rosenberger,BA-G6W9W9X65V-00M,220,,,0,42,20W,-110,,,,
MW5931,MW5931-3,59313,Rosenberger,BA-G6W9W9X65V-00M,330,,,0,42,20W,-110,,,,
MW5918,MW5918-1,59181,Rosenberger,BA-G6W9W9X65V-00M,10,,,1,48,20W,-110,,,,
MW5918,MW5918-2,59182,Rosenberger,BA-G6W9W9X65V-00M,160,,,1,48,20W,-110,,,,
MW5918,MW5918-3,59183,Rosenberger,BA-G6W9W9X65V-00M,280,,,4,48,20W,-110,,,,
MW5908,MW5908-1,59081,Rosenberger,BA-G6W9W9X65V-00M,90,,,2,48,20W,-110,,,,
MW5908,MW5908-2,59082,Rosenberger,BA-G6W9W9X65V-00M,210,,,2,48,20W,-110,,,,
MW5908,MW5908-3,59083,Rosenberger,BA-G6W9W9X65V-00M,320,,,4,48,20W,-110,,,,
MW5910,MW5910-1,59101,Rosenberger,BA-G6W9W9X65V-00M,80,,,2,48,20W,-110,,,,
MW5910,MW5910-2,59102,Rosenberger,BA-G6W9W9X65V-00M,240,,,4,48,20W,-110,,,,
MW5910,MW5910-3,59103,Rosenberger,BA-G6W9W9X65V-00M,280,,,0,48,20W,-110,,,,
MW0693,MW0693-1,6931,Rosenberger,BA-G6W9W9X65V-00M,210,,,2,44,20W,-110,,,,
MW0693,MW0693-2,6932,Rosenberger,BA-G6W9W9X65V-00M,270,,,4,44,20W,-110,,,,
MW0693,MW0693-3,6933,Rosenberger,BA-G6W9W9X65V-00M,350,,,2,44,20W,-110,,,,
MW5805,MW5805-1,58051,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,48,20W,-110,66.8&61.9,9.2&9.1,>25,
MW5805,MW5805-2,58052,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,48,20W,-110,66.8&61.9,9.2&9.1,>25,
MW5805,MW5805-3,58053,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,1,48,20W,-110,66.8&61.9,9.2&9.1,>25,
MW5647,MW5647-1,56471,Rosenberger,BA-G6W9W9X65V-00M,0,,,4,8,20W,-110,,,,
MW5647,MW5647-2,56472,Rosenberger,BA-G6W9W9X65V-00M,170,,,4,8,20W,-110,,,,
MW5906,MW5906-1,59061,Rosenberger,BA-G6W9W9X65V-00M,50,,,2,48,20W,-110,,,,
MW5906,MW5906-2,59062,Rosenberger,BA-G6W9W9X65V-00M,200,,,0,48,20W,-110,,,,
