PK_Site_ID,Sitename,Longitude,Latitude,Site_Technology,Transmission,Landlord,Diesel_Generator,Solar_Power,ESCOM_Main_Grid,Clutter_class 
MW6010, CHIWAMBA , 33.922860 ,-13.855020 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW6011, IDRUSSI , 35.418378 ,-14.356200 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6012, JANUARY , 35.175121 ,-15.986889 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6013, KACHENGA , 34.997919 ,-14.784950 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6014, KAMBANIZITHE , 33.709453 ,-14.357174 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6016, KANYAMA , 34.322458 ,-14.238634 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6017, KAPELULA , 33.850188 ,-12.896153 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6018, KATEMA , 35.078110 ,-14.565000 , 2G+3G+4G ,Access,MTL, YES ,No,No,Rural
MW6020, KAZUNI , 33.663890 ,-11.158560 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6021, KUNENEKUDE , 34.489470 ,-15.455780 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6022, LWANJATI , 33.696860 ,-12.370710 , 2G+3G+4G ,Access,MTL, YES ,No,No,Rural
MW6023, MAGOMERO , 33.894251 ,-14.369000 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6024, MAJIGA , 33.375313 ,-13.856740 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6026, MANGOCHIAIRPORT , 35.266920 ,-14.492500 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Residential
MW6027, MANGOCHINORTH , 35.256410 ,-14.473110 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Residential
MW6028, MANGOCHIACL , 35.250610 ,-14.483610 , 2G+3G+4G ,Access,ACL, YES ,No,Yes,Residential
MW6029, MANGUNDA , 35.258870 ,-16.028440 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6030, MANTHAMBI , 35.543194 ,-16.111849 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6031, MBENJE , 35.216557 ,-16.994429 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6032, MISEUFOLO , 35.520732 ,-15.658732 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW6033, Misuku [TNM] , 33.511130 ,-9.703878 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW6034, MNGWANGWA , 33.685880 ,-13.845713 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6035, MPITA , 35.470227 ,-15.188596 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6036, MSENJERE , 34.170400 ,-12.730050 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW6037, MTAMBANYAMA , 35.068890 ,-16.094760 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6038, MULIBWANJI , 35.578957 ,-14.546006 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6039, MWAZISI , 33.574940 ,-10.933207 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6040, NDAULA , 33.503155 ,-14.135453 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Residential
MW6041, NENOTURNOFF , 34.648610 ,-15.608140 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6042, NGOLOMI , 34.415155 ,-13.822990 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6044, LLSTANDBANK , 33.791242 ,-13.963544 , 2G+3G+4G ,Access,STD Bank, YES ,No,Yes,Dense Urban
MW6045, NTHONDOLL , 33.352352 ,-13.687697 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6046, PASANI , 35.464210 ,-15.925350 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW6048, REGCHINYAMA , 35.342080 ,-16.156317 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6049, REGKAMEME , 33.133920 ,-9.551352 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6050, REGKAWALIZA , 34.369550 ,-15.747300 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6051, REGLIGOWE , 34.656350 ,-15.476181 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6052, REGMPHONDE , 34.915150 ,-16.552200 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
